"Value","Qty","LCSC"
"Antenna","1",""
"1uF","2","C5189821"
"22uF","4","C7432770"
"100nF","3","C6119861"
"10uF","2","C380316"
"WS2812B","1","C527089"
"B5819W SL","1","C8598"
"STATUS","1","C440523"
"POWER","1","C2895474"
"250mW 800v","1","C17888"
"MountingHole","2",""
"USB_C_Receptacle_USB2.0","1","C165948"
"Conn_01x03","2",""
"Conn_01x06","1",""
"Conn_01x04","1",""
"10k","3",""
"100k","1",""
"5.1k","5",""
"KH-6X6X6H-TJ","3","C2837516"
"ESP32-S3-WROOM-1","1","C2913204"
"TPS7A2033PDBVR","1","C2862740"
"DL-TX1-433M","1","C381160"
